area,bedrooms,bathrooms,floor,total_floors,furnished,balcony,age_of_house,parking,near_school,near_metro,price
1559,3,1,5,15,1,0,34,2,1,1,3239047
1197,2,1,10,20,0,1,39,0,0,0,2328378
569,1,2,2,18,2,1,13,2,1,1,1385740
1541,5,3,7,15,1,1,32,2,0,0,3183660
862,4,1,13,19,1,0,13,2,1,1,2198786
1784,5,3,13,23,0,3,33,2,1,1,3804102
948,4,3,9,24,0,2,3,1,0,0,2106160
2429,5,1,1,12,1,0,23,1,1,0,4713415
1030,5,1,13,13,2,1,28,0,1,0,2227857
1306,5,3,8,22,1,1,18,0,1,0,2858134
1988,4,1,2,11,0,0,5,0,0,1,3879072
761,4,1,7,5,2,0,32,0,0,0,1725538
1636,5,1,15,1,0,1,39,2,0,0,3324972
2284,2,2,1,24,2,3,18,1,0,0,4675756
535,3,3,5,3,0,1,0,1,0,0,1275913
1610,3,3,11,22,1,1,4,0,1,1,3521595
1655,3,2,4,19,0,0,26,0,0,0,3332161
1969,4,3,1,23,2,3,15,2,1,1,4273489
757,4,1,15,7,1,1,5,2,1,0,1812789
707,2,3,4,12,0,1,39,0,1,0,1419882
1813,3,1,14,15,1,2,12,1,1,1,3760235
1678,3,2,11,5,0,0,34,1,1,0,3408104
1650,5,1,3,15,0,2,18,1,1,1,3589214
1707,4,3,14,8,2,2,11,0,0,1,3571403
1091,3,3,10,10,1,1,15,1,0,0,2336317
1639,2,3,15,16,2,0,9,2,1,0,3353890
1675,2,2,5,8,1,3,24,2,0,0,3300521
1071,3,2,13,1,1,1,19,0,0,0,2304151
2619,4,3,17,12,0,3,30,2,0,0,5102855
1784,2,1,11,5,0,3,3,0,0,0,3358658
785,5,2,10,3,2,0,22,1,1,0,2025359
1893,2,3,12,1,2,2,1,1,0,1,3946259
915,1,3,10,4,0,0,21,1,1,1,1994800
1972,1,2,15,8,0,3,36,2,1,1,3844169
2195,4,2,14,3,1,1,7,0,1,0,4499041
1007,3,2,14,10,2,3,6,1,1,0,2324559
2078,4,1,3,2,0,1,13,0,1,1,4316215
1747,4,1,10,11,1,1,2,1,0,1,3610093
1993,4,3,18,10,2,0,15,2,1,1,4058732
2638,4,2,14,21,0,3,18,2,1,0,5019569
1352,5,1,3,14,0,2,17,0,1,1,2934115
1047,5,2,12,7,1,3,15,2,1,1,2634639
966,2,3,18,2,2,3,7,2,0,0,2158693
1010,1,1,1,9,0,2,32,0,1,0,2124678
1453,4,1,13,16,1,0,11,1,1,1,3231239
1704,2,1,3,13,1,3,10,2,0,0,3393043
1666,1,3,15,9,1,3,4,0,1,0,3397156
1996,3,2,19,20,1,1,26,2,0,1,4121162
1507,5,1,13,4,1,3,11,2,0,1,3426599
2372,1,3,14,22,1,2,16,2,0,0,4657970
1341,3,2,2,10,1,1,5,2,0,0,2806834
3132,1,3,7,22,1,0,32,0,1,0,5951984
1875,5,2,15,12,1,1,4,0,0,1,3943188
985,5,3,9,17,2,2,27,0,1,0,2427552
857,2,2,3,14,0,2,13,2,1,1,1807398
1789,4,1,17,14,2,1,4,2,0,0,3729668
1365,1,2,1,2,2,0,32,2,1,0,2822435
1928,1,3,16,21,0,1,18,0,1,1,3784972
1783,3,3,12,20,1,0,21,2,1,1,3795933
1456,5,2,3,11,1,1,4,1,0,0,3235693
991,1,1,10,16,0,2,1,2,1,0,2048657
591,5,1,6,19,1,3,29,1,1,1,1666337
1232,1,2,11,23,0,3,38,2,0,0,2562501
2013,2,2,9,6,0,0,3,0,0,1,3910725
1628,4,3,6,24,2,0,32,2,1,0,3402922
752,1,1,12,19,0,0,12,1,0,1,1607462
1603,5,2,6,5,2,2,19,1,1,1,3353466
1731,2,1,16,4,1,1,6,2,0,0,3241730
969,1,2,9,15,2,2,14,1,1,1,2207040
1592,3,2,9,4,1,3,22,1,1,0,3099602
1534,4,1,3,20,0,0,13,0,0,0,2906386
814,1,2,19,10,1,1,22,2,0,1,1786392
1714,2,2,3,24,0,3,18,2,1,0,3356886
1836,3,3,6,22,1,3,28,2,1,1,3841375
2149,2,2,0,3,2,3,19,1,1,0,4369429
2132,2,2,11,5,0,2,28,2,0,0,4125078
673,3,2,12,6,1,0,23,2,0,0,1505654
937,2,3,9,21,2,3,17,0,0,0,2187555
1809,3,1,14,22,2,0,9,0,1,0,3534091
1808,1,3,12,8,1,2,7,0,0,1,3622750
1809,3,3,8,7,0,3,25,1,1,1,3598993
3811,3,1,8,21,1,2,28,2,1,1,7337385
1842,4,3,14,10,0,2,9,0,1,0,3727309
2181,3,1,9,6,2,0,16,0,0,0,4336179
2072,3,3,9,14,2,3,1,0,0,0,4254055
1890,1,1,7,4,2,2,5,2,1,0,3718028
1310,4,2,15,13,2,3,4,2,1,1,2965884
1955,5,3,16,20,0,0,27,2,0,0,3948392
1036,1,3,4,17,2,2,4,1,1,0,2423045
1357,1,3,3,23,2,0,17,1,1,1,3002725
1208,5,3,17,7,0,3,25,0,0,0,2540938
1549,3,2,18,4,2,3,19,2,0,0,3335418
2888,2,3,3,14,0,0,26,0,1,0,5314685
400,4,2,6,3,1,1,11,2,1,0,1168012
1911,2,2,9,24,2,2,6,2,0,1,3846394
532,5,2,17,5,1,3,2,2,1,0,1644742
1216,1,2,18,16,0,3,9,1,1,0,2370742
2153,1,1,3,23,1,2,33,1,0,0,4091148
1538,4,1,9,20,1,0,24,2,1,0,3187656
853,1,3,0,4,2,0,34,0,1,0,1825564
1070,1,1,17,24,1,0,15,2,0,1,2360726
1907,4,1,4,24,1,1,1,2,0,1,4045175
1061,4,3,14,2,2,1,23,0,1,1,2493648
1629,5,3,16,18,1,3,9,2,1,0,3535726
1527,1,3,2,19,1,0,37,0,1,1,2942650
1109,1,1,11,19,1,2,21,1,1,1,2327659
2786,5,1,1,17,2,3,25,1,1,0,5703064
1880,3,3,0,14,1,2,38,0,1,1,3823101
400,3,2,16,19,1,3,26,1,1,0,1209100
1611,3,3,15,22,0,1,28,1,0,0,3114400
1102,5,2,4,24,0,3,37,0,0,1,2382418
2011,1,2,14,13,0,1,19,1,0,0,3841997
1024,5,3,2,12,0,3,26,2,1,1,2444468
1431,5,3,6,6,1,0,19,2,0,0,3145973
1802,3,3,10,21,2,2,18,0,1,1,3748786
2019,2,1,9,4,1,0,19,1,0,1,3799400
779,1,2,8,19,2,3,34,2,0,1,1897167
1299,3,1,13,16,2,3,1,2,1,0,2768108
1215,2,1,12,13,2,3,29,1,1,0,2611728
1108,2,3,1,4,1,1,33,1,0,0,2327868
2559,4,1,2,23,1,2,21,2,0,0,4861899
1742,1,3,6,17,1,2,2,2,1,0,3604130
743,2,2,17,23,0,3,5,0,0,1,1625074
2050,3,3,2,1,1,3,14,0,0,1,4141604
2773,4,1,9,18,2,1,26,2,1,1,5524545
2119,1,1,6,20,2,0,9,0,0,0,4160207
588,5,3,8,17,0,0,8,2,1,0,1677279
1209,3,3,16,15,1,2,32,2,0,0,2459813
2260,2,1,10,11,2,1,31,0,0,1,4586506
1075,2,2,6,22,0,3,5,0,0,1,2191735
1766,3,2,13,13,1,2,35,1,0,1,3765994
1964,2,3,18,1,2,1,1,1,0,1,4014503
943,4,2,3,17,1,0,28,1,0,1,2102526
1464,1,1,5,6,0,1,3,2,1,0,2841813
400,4,3,9,4,1,0,0,0,0,0,1105936
885,2,1,6,20,2,1,18,2,1,1,2250351
1348,5,1,12,16,1,2,25,0,1,0,2869290
751,1,2,13,15,0,0,24,2,1,0,1569816
2479,1,3,3,15,1,2,9,1,0,1,4828560
641,3,3,7,6,1,2,14,1,1,1,1598613
1235,3,2,4,15,1,0,21,1,0,1,2738569
1578,5,1,0,14,2,0,20,2,0,1,3263713
2364,1,1,3,11,0,3,21,0,1,1,4446879
638,5,1,2,7,2,3,35,0,1,0,1715332
2197,3,1,8,9,0,3,33,1,1,0,4264388
1506,3,3,7,16,1,2,29,1,0,1,3208937
911,1,3,0,5,0,2,24,1,1,1,2088653
1777,4,2,5,20,1,3,27,1,0,0,3691504
1619,2,2,8,10,1,2,0,0,1,1,3341198
1139,3,3,6,18,1,2,3,2,0,0,2660747
1541,3,3,3,3,0,0,6,2,1,0,3117333
1268,4,1,12,13,1,0,8,2,1,1,2788775
1568,4,1,16,11,0,2,35,2,1,0,3209964
1897,5,2,1,17,2,3,18,1,1,0,3986806
2451,5,3,4,22,2,1,0,1,1,0,4944263
757,2,2,11,13,1,3,9,1,0,1,1642108
2779,2,3,7,6,1,1,35,2,0,0,5372576
400,1,1,5,17,1,3,8,1,0,1,969722
1408,5,2,7,13,0,0,31,1,1,1,3168824
1852,3,2,17,19,1,2,31,0,1,0,3709596
1668,5,3,2,21,2,2,5,0,1,1,3645280
1126,3,1,11,19,1,0,37,1,0,0,2386947
1375,4,2,2,10,0,1,16,0,0,1,2876975
1204,5,1,5,3,2,1,9,0,1,1,2722358
1146,4,2,1,14,1,1,26,1,1,1,2507341
2009,2,1,11,19,2,0,34,1,1,0,4240016
1714,2,3,1,5,1,1,20,1,1,0,3477142
1084,1,2,5,5,1,0,24,1,0,0,2244154
2039,5,2,16,20,0,3,27,2,1,0,4097964
1684,4,1,2,17,0,3,14,2,1,1,3457161
1987,3,1,1,21,2,0,3,1,0,0,4098987
1877,2,2,19,10,0,2,28,0,0,1,3784754
1002,2,3,7,5,2,3,8,1,0,0,2269609
1163,3,1,11,4,1,1,26,1,1,0,2413674
1948,4,1,3,6,0,0,25,0,1,1,3843677
1866,4,1,4,4,0,1,18,2,1,0,3676111
1487,5,2,12,7,0,1,27,1,1,1,3095652
1570,5,2,14,7,2,2,16,1,1,1,3563707
2266,1,2,15,18,1,1,19,2,0,1,4469106
1145,2,2,9,3,1,2,39,2,1,0,2481086
1828,5,3,15,1,1,3,38,0,1,1,3867848
1378,4,3,11,24,0,0,22,2,1,1,3016451
1369,3,2,16,4,1,1,31,2,1,1,2924436
2159,4,3,15,6,0,0,32,2,1,0,4269615
1995,2,1,11,9,2,1,4,0,0,1,4096564
1988,4,1,7,22,1,0,33,2,1,1,4062520
2283,1,1,19,14,1,1,39,2,0,1,4441196
1512,2,2,2,12,1,1,10,0,0,0,3045460
1909,3,1,15,20,1,1,2,2,0,0,3814523
1313,1,3,12,24,2,1,32,2,0,1,2808250
1694,2,2,18,4,1,1,10,0,0,0,3251269
1421,3,3,7,21,0,1,15,1,1,1,2932110
1558,1,1,4,24,1,1,17,0,1,0,2936174
1857,1,1,19,12,0,1,29,2,0,1,3634236
1009,2,1,7,10,0,1,9,2,0,0,2050071
2755,5,2,11,22,2,0,17,2,0,0,5423917
896,1,3,0,7,2,2,37,0,0,1,2009807
771,1,2,19,3,2,1,18,2,0,1,1847676
2194,3,2,5,23,1,2,35,2,1,1,4376602
1974,4,1,17,14,1,1,12,0,0,0,3905573
1874,2,2,7,24,0,1,2,1,1,1,3783571
1877,2,2,6,10,0,0,9,1,0,1,3601131
1492,5,1,0,16,2,3,37,2,1,1,3346498
961,5,2,15,16,1,3,0,0,1,0,2293881
1545,2,1,11,22,2,0,26,2,1,1,3141864
1093,5,1,5,10,2,2,7,0,1,1,2571583
2085,3,1,19,13,0,3,16,0,0,1,4121051
1411,2,1,1,6,1,0,8,1,0,0,2722119
1004,5,2,13,12,1,0,5,1,1,1,2348417
1307,2,1,3,9,0,3,24,0,0,1,2514126
1747,4,1,0,13,2,2,38,2,1,0,3583080
1161,1,2,17,4,1,0,27,1,0,0,2315433
1006,2,2,12,24,0,1,32,2,0,0,2017838
1646,1,3,1,11,1,2,36,1,1,0,3147808
1646,5,2,8,20,2,2,8,1,1,0,3499112
1195,1,2,1,18,0,3,17,2,1,1,2459216
1217,2,3,8,11,2,3,20,1,0,1,2742947
1639,4,2,0,21,0,1,1,1,1,1,3461581
631,5,2,10,4,2,0,37,2,0,1,1783297
655,2,2,2,18,2,3,39,1,0,0,1462078
1068,5,2,19,1,1,3,35,1,1,0,2469724
1371,3,3,3,7,1,2,36,1,0,1,2711756
1686,1,2,17,6,2,3,14,2,0,0,3446313
2385,3,2,5,15,1,3,27,0,0,0,4669471
2014,2,3,2,18,2,3,17,2,0,0,4035669
1404,4,1,10,24,0,3,33,0,0,0,2836234
1488,5,3,14,11,2,2,21,1,0,1,3205006
898,1,1,4,20,2,1,10,0,0,0,1778314
1488,5,3,19,24,2,1,12,2,0,0,3353235
1326,2,3,9,15,0,0,3,2,1,0,2782100
1693,5,2,11,16,1,3,21,1,0,1,3571251
1003,1,1,14,7,1,2,6,0,0,0,2076108
1811,2,2,16,21,1,0,23,1,0,1,3625263
2419,5,1,9,10,1,0,3,1,1,0,4783262
1434,4,3,5,12,0,1,27,2,1,0,3009173
1741,2,3,17,24,2,2,14,0,1,1,3614566
1914,2,1,12,14,1,2,0,0,1,0,3664497
1259,4,2,2,5,0,2,2,0,1,0,2748334
1634,3,2,9,21,1,1,13,0,1,0,3268158
1507,1,2,13,18,1,1,37,1,1,1,2987611
1558,3,2,5,5,0,1,0,1,0,0,2982052
1036,5,3,2,3,2,1,37,2,0,1,2273522
1514,4,3,15,23,2,1,37,1,0,0,3271919
1798,3,3,6,5,1,3,20,1,1,0,3757888
2370,2,3,19,24,0,3,28,2,1,0,4750843
2075,5,3,13,17,2,2,4,2,1,1,4469276
2791,5,2,8,19,1,0,9,2,0,0,5478240
1039,3,2,14,19,1,2,27,1,1,0,2240182
2023,3,2,2,21,1,0,20,1,0,0,3923075
1610,4,2,1,12,1,1,6,2,0,0,3417383
2813,1,3,1,9,1,0,2,2,1,0,5405878
1015,3,3,2,1,1,2,19,2,1,1,2393445
996,3,3,17,18,1,2,18,1,0,0,2174839
1140,2,1,13,21,2,0,34,1,1,0,2492867
400,5,2,19,4,1,3,3,0,0,1,1132020
1184,1,2,17,10,2,1,4,1,1,0,2412758
1044,2,3,9,7,2,1,0,1,0,0,2322576
1590,4,2,1,22,1,2,3,1,0,0,3420448
1705,4,2,0,23,1,3,11,2,0,1,3572791
2625,3,3,3,1,1,0,26,1,0,0,5007410
2070,3,1,13,17,1,1,22,2,0,0,4145653
1153,4,1,0,24,2,3,24,0,1,0,2547495
960,3,1,13,2,1,1,20,0,1,1,2233217
1795,1,3,15,11,2,3,23,2,1,0,3580171
707,3,2,13,9,0,3,24,2,0,1,1786733
2598,5,3,19,7,0,2,31,2,1,1,5158323
2207,3,3,2,22,1,1,31,1,0,1,4376346
1218,2,2,2,17,0,0,4,0,0,0,2414622
472,1,1,8,17,0,2,35,2,1,0,1073481
2312,2,1,5,2,1,2,38,1,1,0,4530847
1431,2,3,12,6,0,0,15,0,0,0,2665667
2242,5,1,1,14,0,2,32,1,0,0,4385480
543,1,3,7,6,2,3,20,0,1,1,1523371
1140,1,3,1,2,0,3,8,1,0,0,2299143
1503,1,2,3,1,2,1,5,0,1,0,2934012
1528,1,2,14,10,2,1,34,0,1,1,3208200
1229,1,2,3,21,2,0,38,1,0,1,2475735
1873,5,3,12,5,0,1,21,2,0,0,3774254
859,3,2,11,2,2,3,4,0,0,1,1967389
1414,2,1,12,22,1,0,22,2,1,0,2846905
1572,1,1,13,16,1,0,16,1,1,1,3156044
1808,3,3,19,2,1,1,11,2,1,1,3717671
1926,3,3,17,10,2,3,22,2,1,1,4019308
825,2,2,5,2,1,0,15,2,1,1,1851441
579,5,3,10,16,2,3,2,2,1,0,1653400
2266,4,3,1,16,1,3,29,2,1,0,4603940
1699,4,1,18,19,2,3,21,0,1,1,3642897
1050,3,1,18,7,2,1,8,0,1,0,2324309
2430,2,2,4,22,0,2,28,0,1,1,4706426
1569,4,3,18,12,2,2,36,1,1,0,3520679
2207,3,3,1,24,0,0,22,2,0,0,4327094
1540,5,1,9,15,0,3,12,0,1,0,3248317
2736,4,3,1,8,0,1,31,1,0,0,5241430
2553,3,1,10,6,1,3,22,0,0,1,5044520
1350,3,2,17,10,1,3,16,0,0,1,2827811
2082,1,1,14,3,0,1,39,2,1,1,4051715
1887,5,3,8,19,0,2,20,1,1,1,3853890
2321,1,2,18,17,2,3,1,2,0,1,4655898
921,2,1,8,7,2,3,36,2,1,1,2047569
1911,1,1,2,21,2,2,5,0,1,0,3807682
2135,1,2,8,20,2,1,17,2,0,1,4308670
444,4,2,13,4,2,0,29,1,1,0,1253069
790,3,1,18,14,0,2,21,2,1,0,1941765
400,5,3,6,20,1,0,32,2,1,1,1305729
1338,1,1,15,22,2,0,29,2,1,0,2599638
1930,5,2,15,15,0,2,16,0,1,0,3857470
2401,1,1,0,24,1,3,31,1,0,0,4431068
1544,2,2,3,8,0,0,13,0,0,0,2989968
2477,1,2,3,21,1,0,9,0,0,1,4619970
671,4,3,6,15,1,1,35,0,1,0,1599662
477,3,2,7,22,1,3,33,0,0,0,1208164
1466,2,2,16,20,1,0,8,0,0,0,2922291
1730,1,3,4,14,1,1,27,1,1,0,3418588
1480,5,2,6,9,0,3,10,2,1,1,3254080
400,2,3,19,8,0,2,13,0,1,0,1022759
1446,2,3,19,17,2,2,38,0,0,1,2916899
717,1,2,3,2,1,1,18,1,0,1,1553252
1901,2,2,5,24,0,2,14,1,0,1,3772499
1719,5,1,6,3,2,0,27,2,0,1,3627845
936,2,3,17,8,0,3,23,1,0,1,2097519
1191,5,1,4,12,1,0,7,2,1,0,2581457
864,1,2,19,1,0,0,8,0,1,0,1848146
1462,3,1,2,10,2,2,32,0,0,0,2747694
2073,2,3,6,20,1,0,32,2,1,1,4186315
908,3,1,13,3,0,2,18,1,1,0,2061710
1802,5,3,6,6,2,3,2,2,0,0,3993015
1181,2,2,4,7,1,3,9,1,1,0,2479453
1024,4,2,4,20,0,0,39,0,0,0,1998304
1435,3,3,1,23,0,1,0,1,0,0,3024317
878,2,2,5,18,0,2,28,2,1,1,1952650
1167,3,2,14,11,0,2,33,2,0,0,2411282
781,2,2,9,19,1,0,12,0,1,1,1707971
2678,1,2,6,5,2,2,0,1,0,1,5117409
1521,3,3,4,19,1,2,33,1,1,0,3206309
1080,4,1,0,11,0,1,28,1,1,0,2318989
1628,4,1,12,24,0,1,12,0,0,0,3231123
1432,5,2,17,12,0,0,28,1,0,0,2901876
1367,2,1,12,10,1,1,38,2,1,1,2758800
1868,3,1,17,8,2,0,23,1,1,0,3659220
1954,5,2,4,24,0,3,25,0,1,0,3900356
1181,3,2,12,9,2,0,16,1,1,1,2565131
1154,2,1,3,4,2,3,6,1,1,1,2404255
1334,4,3,16,5,1,0,12,2,1,1,3050907
400,1,2,2,21,2,2,4,1,1,1,1048674
590,4,3,16,8,1,1,25,2,1,1,1737713
2320,5,1,10,23,1,3,2,2,1,0,4755125
2486,1,2,19,9,1,0,6,0,1,1,4844147
1350,5,3,3,15,1,1,38,2,0,0,3053624
1845,2,2,1,15,0,0,0,2,1,1,3590135
1686,1,1,19,16,1,1,16,0,1,1,3413501
3347,5,3,15,14,0,1,24,2,0,0,6471988
2171,2,1,17,8,1,0,2,0,0,1,4425085
1423,4,1,7,18,0,3,14,1,0,1,2933136
926,2,2,2,10,2,3,28,0,1,0,1998815
536,3,3,8,20,2,2,31,2,1,1,1592642
1622,2,1,19,6,1,1,25,0,0,0,3135887
1046,2,1,5,12,0,2,15,2,1,1,2174122
646,3,3,9,2,2,2,24,1,1,0,1589377
1112,5,1,9,7,2,0,27,0,0,1,2608856
851,5,1,12,16,2,0,8,1,1,1,2038123
2512,2,3,16,3,0,0,0,2,1,1,4981447
2028,3,3,8,13,1,1,28,2,1,1,4257294
1495,3,3,16,3,0,0,21,1,1,0,3151159
2387,4,3,8,18,0,0,15,0,1,1,4706467
1546,5,2,8,11,2,1,6,0,1,0,3315105
983,1,3,0,8,2,1,13,2,0,1,2161784
2413,5,2,1,6,1,3,28,1,1,0,4728998
1823,5,2,15,1,2,0,18,1,1,0,3887801
877,4,2,0,1,1,0,18,0,1,1,2040080
1385,1,1,9,23,1,0,1,0,0,0,2780046
974,4,2,17,8,1,3,14,0,1,0,2159543
670,1,2,7,5,2,0,2,1,0,0,1589695
